uri,doc,type,target
https://archive.4plebs.org/pol/thread/116459844/#116460942,Willen jullie meer of minder Marokkanen?,0. appropriate,
https://www.youtube.com/watch?v=Kpe35dER5zQ,Ik vind dit echt grappig 😂😂,0. appropriate,
https://twitter.com/twitter/status/1253252989382545410,"-*-*-*- weet je wat triest is, dat mensen in #verpleeghuizen en #verzorgingshuizen al weken hun #familie niet zien. En dan vegin jij te zeiken over die kut #Ramadan , terwijl de #moslims schijt hebben aan de #RIVM maatregel en er nog genoeg naar de #moskee gaan. Zie #Rotterdam -*-*-*-",2. offensive,3. islamophobia
https://archive.4plebs.org/pol/thread/165931002/#165932452,krijg een resultaat,0. appropriate,
https://legacy.dumpert.nl/mediabase/7855211/07bd852e/mag_ik_deze_hier_even_droppen_.html?thema=Fapvoer,En of dat mag!! wat heerlijk zeg,0. appropriate,
https://twitter.com/duckie1098/status/1276787203209932800,"Zorgpersoneel uitgeput door coronacrisis: 'Ze behandelen je echt als dienstmeid'.Tsja en als nu nog 25% werkers in de zorg er de brui aangeeft, kunnen de managers (de dames en heren die de chaingang opzwepen, zelf gaan roeien.",0. appropriate,
https://twitter.com/reinderstwan/status/1290334937963540480,"Hoezo noem je het ""die ""scene"""" alsof het een underground iets is? En ik ken genoeg trans mensen, maar daar gaat t niet om? T is geen wedstrijd van wie t minst transfoob is luv",0. appropriate,
https://www.youtube.com/watch?v=SRp7kFAfHUI,"-*-*-*-
Tip: Zet je video's ook op Bitchute.com een goed alternatief voor youtroep (YouTube)",2. offensive,12. other
https://legacy.dumpert.nl/mediabase/7957937/59cec9c3/meid_houdt_van_rock.html?thema=Fapvoer,"Wat een bips, daar kun je een spijker op recht slaan.",0. appropriate,
https://twitter.com/twitter/status/250,Moorkop is onze gewoon de cultuur van Nederland!!!!!,0. appropriate,
https://twitter.com/Sir__Charles/status/1084456018988298242,Onderwerping. . .,0. appropriate,
https://www.youtube.com/watch?v=BNu2jysOdZM,"-*-*-*- Dian Welnee, zoals ik net heb uitgelegd zijn er maar een paar echt positief. De rest is vals-positief.
---
't  is nu zomer, iedereen is lekker naar buiten geweest en heeft voldoende vitamine D in zijn lijf. 
----
Als nu iedereen met symptomen direkt een behandeling krijgt met HCQ+Zink in lage doses, dan wordt er,  op een enkele uitzondering na,  niemand ziek en overlijdt er ook niemand.",0. appropriate,
https://www.youtube.com/watch?v=nxWvmtPh2dE,"We mochten elkaar niet binnen een bijeenkomst wijsbegeerte ooit in het Parkhotel Den Haag omtrent het begrip 'postmodernisme', maar hier vinden we elkaar in het anti-Nietzschiaanse begrip 'hoop/geloof' :-)",0. appropriate,
https://www.youtube.com/watch?v=Kpe35dER5zQ,Super leuk ❤,0. appropriate,
https://www.youtube.com/watch?v=nxWvmtPh2dE,Zijn verstand zeker,2. offensive,11. individual
https://archive.4plebs.org/pol/thread/117659998/#117665909,"lol calm yourself lonely neet. You cant to go around raping women, but I am just sayan. Mayb I can find that old piece back or just you know, google ""women orgasm from rape"" en denk er goed bij na of je mooi genoeg bent om dit te doen.    (het is ook een van de redenen waarom niet alle vrouwen verkrachters aangeven lol, tamelijk weinig eigelijk)",2. offensive,7. sexism
https://twitter.com/superjan/status/1262391365314510854,En we weten allemaal wat daarna komt. -*-*-*- …,0. appropriate,
https://archive.4plebs.org/pol/thread/82365588/#82366597,"Diep van binnen is dat bij iedereen het geval hoor, mijn ouders hebben al toegegeven dat ik er gelijk over heb. Maarja, wa denkte ge dat ze de volgende keer in het stemhokje zullen doen? Opnieuw voor de sossen natuurlijk...",1. inappropriate,
https://twitter.com/twitter/status/0,Roetveegpieten is óók zwaar discriminerend toch???Het zijn toch maar weer die blanken die het vuile werk moeten opknappen. Wie discrimineren hier😡👊. Hier worden wij blanken zwaar gediscrimineerd als je het zo bekijkt.,2. offensive,8. ideology
https://www.youtube.com/watch?v=fLZ_0jcbEtQ,Ligt het aan mij of is het geluid niet zuiver ?,0. appropriate,
https://www.youtube.com/watch?v=BNu2jysOdZM,"Een aantal jongeren voelen zich erg aangesproken hier op de reacties na het kijken van dit filmpje. Er zijn een aantal belangrijke dingen: Onder de radar blijven zonder dat je weet dat je Corona hebt, dan wil je toch niet dat je door deze gevaarlijke dodelijke longvirus je beste Ooms, Tantes, Opa's, Oma's, zussen, broers, kennisen of vrienden wellicht kunt kwijtraken als die wel doodziek worden van jouw virus en jijzelf niet. Dat wil je toch niet op je geweten hebben? Zet verdorie die boze kiezen en tanden op elkaar en wordt de baas over deze duivelse virus, want Corona lacht ons nu uit omdat hij steeds meer terrein wint en de baas wil worden en zich nu blijkt veel onder jongeren te schuilen. Probeer de mensen, de economie en de dieren, en de wereld te redden en je familie en vrienden te beschermen. Grijp die Covid-19 virus en gun hem die kans niet. Hoe sneller we er vanaf kunnen wezen hoe snel we weer naar het oude kunnen? Naar elkaar wijzen snappen we dat dat gebeurd. Iedereen maakt fouten, maar geef dat gemene dodelijke pandemie geen kans meer en jij bent een stoere gast als je jezelf getest hebt!",0. appropriate,
https://twitter.com/twitter/status/70,Geweldige reactie van de kinderen .,0. appropriate,
https://twitter.com/twitter/status/1275213563313958919,-*-*-*- -*-*-*- -*-*-*- -*-*-*- Kutwijf. Ge bent op 1 ding super. “ Hoe kan ik samen met somers mijn partij nog lager de grond in duwen “. Draai u om we zijn met vele die u kop beu zijn. Hebt gij echt niks beter te doen voor u vette betaalde job te doen. Domme gans.,2. offensive,10. politics
https://twitter.com/twitter/status/1267185673766948865,"-*-*-*- Hypocriet kneusje, nu zielig lopen doen maar als er geweld door moslims wordt gepleegd hou je stijf je smoel dicht. Links flikkertje. Jij staat voor alles zolang het maar tegen de Nederlanders is #meeloper #hielenlikker #ExtreemLinks",2. offensive,10. politics
https://www.youtube.com/watch?v=0jrTrEcctmk,goed goed goed,0. appropriate,
https://twitter.com/ConstantinLeFev/status/1295432243587014661,"Aangezien mijn echtgenote niet werkt, bouwt ze ook geen pensioenrechten op... En mijn bijdrage via belastingen en sociale bijdragen is idd hoog genoeg om mijn gezin te dragen, maar dat betekent dus ook keihard werken.",0. appropriate,
https://www.youtube.com/watch?v=BNu2jysOdZM,"-*-*-*- 999 zoals ik al zeg, we willen geen echte consequenties nemen en willen allemaal domme en irritante regeltjes aannemen die half werken, zoals geen autos in Amsterdam of minder vlees eten. Dit zijn regels die allemaal zo een klein effect hebben, terwijl een kleinere bevolking  het meest zal helpen.",0. appropriate,
https://archive.4plebs.org/pol/thread/90770885/#90773356,"Meh, had erger kunnen zijn.    Trannyrechten bijvoorbeeld",2. offensive,6. homophobia
https://archive.4plebs.org/pol/thread/70836196/#70849636,Hitler was een mongool die het leven van onze voorgaande generaties zuur maakte. Verkondig je dit soort onzin ook tegen je grootouders?,0. appropriate,
https://twitter.com/twitter/status/7,"Hij vlucht weg van eigen cultuur.......... Ze werkte niet met hem méé  Kreeg z'n zin niet...... Bij die kaaskoppen kan je op je poot spelen........ Van leer trekken ..... Ze buigen als een knipmes voor meneer........ Overal tegen áán schoppen......  In het wandrek hangen ..... Met een groot bord ""Discriminatie"".......... Oh.......wee Als ik boos ben ........",2. offensive,1. racism
https://twitter.com/twitter/status/0,ja is.goed,0. appropriate,
https://www.geenstijl.nl//5153779/de-t-is-nu-eenmaal-de-t/,"Hahahaha, ik zie het ook voor me. Fles wijn in d'r klauwen, speelgoedpistooltje ernaast en maar drukken op die herhaaltoets :)",2. offensive,7. sexism
https://archive.4plebs.org/pol/thread/42916610/#42919710,"Jij bent het laagste van het laagste, waarom zou je in godsnaam naar de meest achterlijke religie ooit converteren?    Ik hoop dat je goed wordt uitgelachen door nadenkende Nederlanders want dat verdien je.    Ondertussen lachen andere moslims je uit want ze zijn blij dat ze een idioot zoals jouw aan hun kant hebben staan.    Je bent niet meer dan dat achterlijke Australische kind die naar IS is gegaan en zichzelf heeft opgeblazen.    Rot anders even op naar een islamitisch land wil je? zijn we van je af.",3. violent,11. individual
https://twitter.com/twitter/status/1278092032133734400,"-*-*-*- -*-*-*- Mijn God, wat een gehersenspoelde randdebiel ben jij! Wie begint hier met polariseren? Dat zijn toch echt die BLM en Antifa demonstranten! Wie waren de afgelopen maanden het grootste tuig? Wie plunderden en  staken winkels in brand en sloegen eigenaren van buurtwinkels in elkaar?",2. offensive,11. individual
https://www.youtube.com/watch?v=wmp_9cVoHfg,Wij zijn ook wakker,0. appropriate,
https://legacy.dumpert.nl/mediabase/7954741/a76422d8/boingboingg.html?thema=Fapvoer,Heerlijk wakker worden...,0. appropriate,
https://www.youtube.com/watch?v=HKnV4E178rQ,-*-*-*- Hate Your Dad dus met jou vergelijking hoef  ik dus niet met een vaccin rond te lopen want ik word ook niet dood gemaakt door dit virus. Dus jij wil wel al de vest dragen(vaccin nemen)!,0. appropriate,
https://www.youtube.com/watch?v=PgrWChCzV9I,"Met een mondkapje op neuken, iemand die in plaatjes denkt ziet de verschillen.",1. inappropriate,
https://twitter.com/krabman1/status/1193979019869511687,"Misschien heeft #Dre iets van een oedipus complex ? Nou en, laat lekker gaan. #Maasland is toch een stoeipoes en dat lijkt op oedipus (o-die-poes) #andrehazesjr #hazes #Bridget #rtlboulevard",2. offensive,11. individual
https://archive.4plebs.org/pol/thread/168056610/#168065169,"word slim, idioot  stop met huilen over een paar domme wapenfabrieken",2. offensive,11. individual
https://www.youtube.com/watch?v=pa0dOmycbR8,"Lockdown staat al gepland in september, dit is ene grote poppenkast en toneelstuk.",0. appropriate,
https://archive.4plebs.org/pol/thread/169256231/#169265495,"Nationaal FvD stemmen en regionaal, lokaal stemmen. Simpel. PVV is een links gemaskeerd partijtje die met niemand samen werken wil en boven alles geen enkel politiek standpunt beamen wilt. Door dit soort geneuzel geloven kanker mongolen als ;",0. appropriate,
https://twitter.com/twitter/status/1278364240504594436,-*-*-*- -*-*-*- Flikker toch op trol! Wereldwijd waren het de joden die de slavenhandelaren van de wereld waren! Vieze vuile hufter dingen anders voorstellen!,2. offensive,10. politics
https://archive.4plebs.org/pol/thread/102170342/#102182143,"PS: Sorry mensen, 21-jarig Leids studentje hierzo, geen bejaarde tokkie zoals van alle PVV-aanhangers aangenomen wordt tegenwoordig",2. offensive,10. politics
https://twitter.com/twitter/status/9,"Nicodemus Je begrijpt misschien niet waar om ik dat allemaal heb geschreven.Het is een voorbeeld dat lieden die tegen Zwarte piet zijn, en klagen,rekening moeten houden dat voor hun Nederland een Paradijs is en je zeker aan moet passen en integreren .Altijd nog minstens 14 miljoen mensen die Zwarte piet willen houden en dat mensen met andere roots zich daar naar moeten schikken .",0. appropriate,
https://twitter.com/twitter/status/1268457036641075200,Dit zegt toch alles met wat voor een gevaarlijke idioten we te maken hebben. Ongeletterde gekken met hun debiele mobieltjes waarmee ze opdrachten van hun Antifa- leiders ( Soros e.d.) ontvangen en uitvoeren. Respectloze imbecielen. -*-*-*-,2. offensive,8. ideology
https://archive.4plebs.org/pol/thread/125610608/#125620650,"maar ik doe wel een studie waar ik veel vrouwelijke mede cursisten heb en in stage veel vrouwelijke medewerkers, waar ik dus ook veel mee moet samenwerken.",2. offensive,7. sexism
https://www.youtube.com/watch?v=qGPd6W39rRY,Goed om te demonstreren voor deze zaak. Halsema=100% Incompetent en neemt 0 verantwoording. Ga zo door!,2. offensive,10. politics
https://twitter.com/twitter/status/1225740483969896448,"-*-*-*- Hoe moet ik dat oude boek nu noemen zonder gevoelens te kwetsen??
""""De ..gerhut van oom Tom""""
In de Bijlmermeer Asd OZ roepen/schreeuwen Surinamers , Antillianen de hele dag naar elkaar:""Hé neger, nigger, klote nikker, nigga "".
Ik mag niks..",1. inappropriate,
https://www.youtube.com/watch?v=IwcbadtGonU,Wat een kwaliteit,0. appropriate,
https://twitter.com/twitter/status/1268239629129482249,"-*-*-*- vanaf mrgen zullen de negers zich aan de wet houden.
want wij zijn 1 volk,😂😂😂wie dat gelooft is
echt een beetje de weg kwijt, geen tasjes roven meer
geen berovingen geen verkrachtingen meer
het is vrede op aarde stelletje mongolen.",2. offensive,1. racism
https://www.youtube.com/watch?v=fLZ_0jcbEtQ,👍👍👍,0. appropriate,
https://www.youtube.com/watch?v=IwcbadtGonU,Hoe dan ook de COVID-19 is alleen maar gunstig voor NOS zie kijkerspiek ten op zichten van 8 maanden geleden,0. appropriate,
https://www.youtube.com/watch?v=IwcbadtGonU,"doe niet of je dom bent 



je hoort het toch",0. appropriate,
https://twitter.com/twitter/status/1171805863448928256,-*-*-*- -*-*-*- Een negerin aanvallen.....Zie dat je niet de negerinnen mentaliteit kent....die laten zich niet slaan. ..die rammen keihard terug....Daarom zijn negers bang voor ze ;-),0. appropriate,
https://www.youtube.com/watch?v=ktFDN5cBFgw,"Ach gut, wat een toeval!",0. appropriate,
https://www.youtube.com/watch?v=nxWvmtPh2dE,"25:52 'Epistemische zekerheden' niet van die moeilijke woorden gebruiken. Ik dacht, dat een trend in managementland juist was 'beslissen in onzekerheid', dus zonder dat je alles van tevoren tot in detail hebt uitgeplozen?",0. appropriate,
https://www.youtube.com/watch?v=nxWvmtPh2dE,"-*-*-*-
Maw de testen zijn waardeloos, alleen bruikbaar om de besmettingenstatistieken op te voeren.",0. appropriate,
https://archive.4plebs.org/pol/thread/52831028/#52831876,"Kankerlijer, je brengt schande op het vaderland.",0. appropriate,
https://archive.4plebs.org/pol/thread/118974351/#118975424,"Anne Fleur, dat lage GL wijf heeft het geretweet.   De Randstad is echt pure kanker.",2. offensive,12. other
https://www.youtube.com/watch?v=IwcbadtGonU,"Hi, ik las zojuist over de tijdelijke noodwet 1,5meter, wellicht interessant om eens inzichtelijk te maken hoe tijdelijk deze wet zal zijn en wat de gevolgen zijn.🤔",0. appropriate,
https://www.youtube.com/watch?v=pa0dOmycbR8,"Hun krijgen die griep nooit!!!
De HEL Wacht ze op!!!!
Dat is hun loon tot in de eeuwigheid!",0. appropriate,
https://archive.4plebs.org/pol/thread/114420290/#114430669,vraag me af hoe de moslim wereld zo geradicalizeerd is?,0. appropriate,
https://www.youtube.com/watch?v=wmp_9cVoHfg,Kwak kwak kwak,0. appropriate,
https://twitter.com/twitter/status/1280921625748213760,"-*-*-*- Jij jessica klavertje jij vuile hond én weer afschuiven richting de PVV en FVD  !!
Dit is een teken van zwakheid van jou onkunde jij maakt meer verkeerde beslissingen dan welke partij dan ook  !!!
Jij bent een vieze gore landverader  !!!😡😡😡",2. offensive,11. individual
https://www.youtube.com/watch?v=PgrWChCzV9I,-*-*-*- de gever ja en dat is een premier. net een klein kind. geretardeerd op zeer jonge leeftijd en blijkt ook nog woedeaanvallen te hebben ook!! dus zegt genoeg. wij worden 'geregeerd' door een heel stel narcisten,0. appropriate,
https://www.youtube.com/watch?v=IOKHAXgkMSk,"heren, de hersenspoeling op de radio is inmiddels begonnen verkiezingpropaganda vandaag gehoord, misschien een idee om jullie plannen ook goed te ventileren?",2. offensive,9. media
https://www.youtube.com/watch?v=Rt8fPp-K_VI,Alleen lelijke vrouwen zijn feminist,2. offensive,7. sexism
https://www.youtube.com/watch?v=GgxpAL4ySWk,Wie ben je om te bepallen  wie wat moet doen,0. appropriate,
https://archive.4plebs.org/pol/thread/89724289/#89726729,ik hoef toch niet weer in een klaslokaal vol met turken en marokkanen te zitten toch?,1. inappropriate,
